corpus_id,entry_no,definition,prediction,present,present_1sg,imperfective,perfective,imperative,infinitive
502,509,he/she is inside,FullEventful,aya'a,tsiya'a,aya'o'i,,,
502,509,he/she is inside,FullStative,aya'a,tsiya'a,aya'o'i,,,
504,511,he/she is distributing it,FullEventful,ayathohiha,tsiyathohiha,ayathohiho'i,uyatholhv'i,hiyathohi,uyathohihsti
507,514,he/she is waking up,FullEventful,ayeka,tsiyeka,ayeko'i,uyetsv'i,hiyeki,uye'ihsti
509,516,he/she is waking him/her up,FullEventful,aye'ihstiha,tsiye'ihstiha,aye'ihstihsko'i,uye'ihsthanv'i,hiye'ihsta,uye'ihstohti
511,518,he/she is putting him/her inside (refers to somewhere large enough to move around in),FullEventful,ayhtiha,tsiyvtiha,ayhtihsko'i,uyhthanv'i,hiyvta,uyhtohti
512,519,it’s crowing (refers to a rooster),FullEventful,ayhka,kayhka,ayhko'i,uyvlhsv'i,hayvla,uyvlhihsti
513,520,he/she is getting it (refers to a long object),FullEventful,ayiha,tsiyi'a,ayihsko'i,uyvhv'i,hiya,uyhti
515,522,it’s breaking,FullEventful,ayoka,tsiyoka,ayoko'i,uyotsv'i,hiyoki,uyoyhsti
516,523,he/she is shooting him/her,FullEventful,ayohiha,tsiyo'iha,ayohiho'i,uyolhv'i,hiyo'a,uyohsti
517,524,he/she is taking a break,FullEventful,ayohihstiha,tsi'yohihstiha,ayohihstihsko'i,uyohihsthanv'i,hiyohihsta,uyohihstohti
519,526,he/she is whittling it,FullEventful,ayolhvhska,tsiyolvhska,ayolhvhsko'i,uyolhanv'i,hiyolhvka,uyolhvhsti
521,528,he/she is dying (refers to a human),FullEventful,ayohuhska,tsiyo'uhska,ayohuhsko'i,uyohuhsv'i,hiyohuhi,uyohuhihsti
522,529,he/she is breaking it up,FullEventful,ayoliha,tsiyoliha,ayo'ihstihsko'i,uyo'ihsthanv'i,hiyo'ihsta,uyo'ihstohti
523,530,he/she is greeting him/her,FullEventful,ayoliha,tsiyoliha,ayoliho'i,uyolilv'i,hiyolika,uyolihsti
524,531,he/she is breaking it,FullEventful,ayohstiha,tsiyohstiha,ayohstihsko'i,uyohsthanv'i,hiyohsta,uyohstohti
526,533,he/she is destroying it,FullEventful,ayohsthanohvhska,tsiyohsthanohvhska,ayohsthanohvhsko'i,uyohsthanonhv'i,hiyohsthanonha,uyohsthanohvhsti
529,536,he/she is entering it,FullEventful,ayvhiha,tsiyv'iha,ayvhiho'i,uyvlhv'i,hiyvha,uyvhsti
530,537,he/she is finding it (refers to a long object),FullEventful,ayvwhahthiha,tsiyvwahthiha,ayvwhahthihsko'i,uyvwhahthvhv'i,hiyvwhahtha,uyvwhahthvhti
531,538,he/she is taking it somewhere (refers to a long object),FullEventful,ayvwhitiha,tsiyvwitiha,ayvwhitihsko'i,uyvwhitvhv'i,hiyvwhita,uyvwhithti
539,549,he/she is making an X,FullEventful,tatanhawhstiha,tekatanawhstiha,tatanhawhstihsko'i,tutanhawhsthanv'i,thatanhawhsta,tsutanhawhstohti
541,551,he/she is conjuring,FullEventful,tatanhehse'a,tekatanehse'a,tatanhehsehsko'i,tutanhehsa'v'i,thatanhehsaka,tsutanhehsehsti
542,552,he/she is accepting him/her,FullEventful,tatanilvka,tetsiyatanilvka,tatanilvko'i,tutanilvtsv'i,thiyatanilvki,tsutanilvhsti
543,553,he/she is dodging,FullEventful,tatanvtihstiha,tekatanvtihstiha,tatanvtihstihsko'i,tutanvtihsthanv'i,thatanvtihsta,tsutanvtihstohti
544,554,he/she is performing baptism,FullEventful,tatawo'a,tekatawo'a,tatawohsko'i,tutawo'v'i,thatawotsa,tsutawohsti
545,555,he/she is giving up,FullEventful,tatayohska,tekatayohska,tatayohsko'i,tutayohsv'i,thatayohi,tsutayohihsti
546,556,he/she is teaching,FullEventful,tateyhohvhska,tekateyohvhska,tateyhohvhsko'i,tuteyonhv'i,thateyhohvka,tsuteyhohti
547,557,he/she is weeping,FullEventful,tatloyhiha,tekatloyiha,tatloyhiho'i,tutloyhilv'i,thatloyhka,tsutloyhsti
548,558,he/she is being married,FullEventful,takatshvhstiha,tvkwatshvhstiha,takatshvhstihsko'i,takatshvhsthanv'i,witetsatshvhsta,tsakatshvhstohti
550,560,he/she is setting a price,FullEventful,takvwalhtiha,tetsikvwalotiha,takvwalhtihsko'i,tukvwalhthanv'i,thikvwalhta,tsukvwalhtohti
552,562,he/she is rocking,FullEventful,talhihkeha,tekalihkeha,talhihkehsko'i,tulhihkehv'i,thalhihkvla,tsulhihkehti
553,563,he/she is drawing a picture of him/her,FullEventful,talhilohstiha,tetsiyatlilohstiha,talhilohstihsko'i,tulhilohsthanv'i,thiyatlilohsta,tsulhilohstohti
